wilderness,wildernessName,description,state,agency,acreage,yearOriginallyDesignated

",MN,FS,812941,1964
denali,Denali Wilderness,"Native Athabascans have always referred to Mount McKinley as Denali, or ""The High One."" The mammoth mountain, at 20,320 feet, is the centerpiece of the Denali Wilderness and is the highest point in North America and the tallest mountain on Earth when measured from base to summit. Mountaineers have long been irresistibly drawn to this fabulous land of perpetual snow and danger. The upthrust of the range creates its own weather, usually frigid and windy, with clouds that hide the mountains as much as 75 percent of the time. On the northern slopes of the Alaska Range, the wilderness drops to tundra, a world of dwarf shrubs and miniature wildflowers adapted to the short growing season. Tundra gives way to taiga, a Russian word for ""land of little sticks,"" and here scant trees line many miles of river.",AK,NPS,2124783,1980
dollySods,Dolly Sods Wilderness,"In the mid-1800s, the Dalhe family used open grassy fields called ""sods"" for grazing sheep in this area, which now bears the name Dolly Sods Wilderness. The region, located high on the Allegheny Plateau, is known for its extensive rocky plains, upland bogs, and forests of northern hardwoods and laurel thickets. Like many eastern wilderness areas, this area has a history of human use including being using in the 1940s for military maneuvers and mountain training for World War II.
",WV,FS,17776,1975
flatside,Flatside Wilderness,"The Flatside Wilderness takes its name from Flatside Pinnacle, a 1,550-foot rock outcropping just outside the northeast boundary. Dominating the skyline are White Oak Mountain, the highest point in the wilderness at 1,650 feet, and Forked Mountain, at 1,350 feet. From overlooks on the eastern and western sides, the forest below looks like an unbroken canopy of pines and hardwoods. Several small creeks flow through the area.",AR,FS,9507,1984
frankChurch,Frank Church-River of No Return Wilderness,"Few places in America, and nowhere outside of Alaska, provide a wilderness experience to match the sheer magnitude of the Frank Church-River of No Return, the second largest wilderness in the lower 48 states, second in size only to California's Death Valley Wilderness. Names for Idaho Senator Frank Church, who played a key role in the passage of the Wilderness Act of 1964, this is a land of clear rivers, deep canyons, and rugged mountains. Two white-water rivers draw many visitors: the Main Salmon River, which runs west near the northern boundary; and the Middle Fork of the Salmon, which begins near the southern boundary and runs north for about 104 miles until it joins the Main. Reaching 6,300 feet from the river bottom, the canyon carved by the Main Salmon is deeper than most of the earth's canyons--including the Grand Canyon of the Colorado River--and this fast-moving waterway has been dubbed the River of No Return.",ID,FS,193703,1980
gaylordNelson,Gaylord Nelson Wilderness,"Named for former Wisconsin Governor, U.S. Senator, and founder of Earth Day, Gaylord Nelson, this wilderness consists of 21 of the Apostle Islands in Lake Superior. The beauty of the islands is enhanced by the area's geology. Colorful precambrian sandstone have eroded into interesting cliff formations, including sea caves, and there is a highly diverse collection of sandscapes, including sandspits, cuspate forelands, tombolos, a barrier spit, and numerous beaches. These sandscapes are among the most pristine left in the Great Lakes region.



",WI,NPS,33500,2004
glacierBay,Glacier Bay Wilderness,"In 1794, when Captain George Vancouver sailed through Icy Strait west of present-day Juneau, Alaska, the entrance to today's Glacier Bay was a wall of ice that extended more than 100 miles northward. By 1916, the ice had retreated 65 to 70 miles and the bay was formed. The glaciers continue to retreat on the bay's eastern and southeastern sides, but they have begun to grow on the western side. Some of the world's greatest tidewater glaciers exist in Glacier Bay, at least 12 of them still calving (breaking off) into salt water. Most visitors see the Glacier Bay Wilderness by boat, and the sea kayaking ranks among the best in the world.",AK,NPS,2664876,1980
glacierPeak,Glacier Peak Wilderness,"Glacier Peak Wilderness, which shares its northern border with North Cascades National Park, has few equals in terms of sheer ruggedness. Glacier Peak, the highest summit in the area at 10,541 feet, is more remote than any of the state's other famous old volcanoes. Above the tree line (5,000 feet to 6,000 feet), lovely meadows stretch out below the tattered ridges and the dozen or so summits draped with active glaciers, while below the tree line you will wander through dense forest cover. Ultimately, the steep fractured walls and ragged peaks lead to deep U-shaped valleys tangled with huckleberry and other woody plants. Climbers have put up routes on at least 140 peaks and faces in the area, and the rock climbing rates among the best in America.",WA,FS,260678,1964
greatSandDunes,Great Sand Dunes Wilderness,"For century after century, streams, creeks, melting snows, and flash floods brought bits of rock that became sand grains out of the mountains and to the valley floor. When sand lay exposed, southwesterly winds began the slow process of bouncing the grains toward the low curve of the Sangre De Cristo Mountains where they piled up to become the Great Sand Dunes, for which this wilderness is named. Reaching heights of 700 feet, these are the tallest dunes in North America, yet they lie, in stark contrast, at the very foot of the snow-clad Sangres.",CO,NPS,32643,1976
johnMuir,John Muir Wilderness,"John Muir, for whom this wilderness is named, spent his life advocating for the protection of the wild parts of the Sierra Nevadas. From east of Fresno, California, in the north, the John Muir Wilderness forks around Sequoia/Kings Canyon National Park and extends some 100 miles to the south. Elevations range from 4,000 feet to just below the Mt. Whitney summit at 14,497 feet. There are numerous peaks over 12,000 feet. Deep canyons, lofty peaks, meadows, lakes and expansive alpine terrain characterize this wilderness. The south and middle fork of the San Joaquin River, the North Fork of the Kings river and many creeks that flow into the Owens valley to the east originate here.",CA,FS,299235,1964
joshuaTree,Joshua Tree Wilderness,"The Joshua Tree Wilderness thrusts north into the Pinto Mountains, northeast into the Coxcomb Mountains, southeast into the Eagle Mountains, and southwest into the Little San Bernardino Mountains and is the fabulous meeting place of two desert ecosystems. The lower, drier Colorado Desert dominates the eastern half, home to abundant creosote bushes, the spidery ocotillo, and the ""jumping"" cholla cactus. The slightly more cool and moist Mojave Desert covers the western half, serving as a hospitable breeding ground for the undisciplined Joshua tree.",CA,NPS,557802,1976
joyceKilmerSlickrock,Joyce Kilmer-Slickrock Wilderness,"Joyce Kilmer, for whom this wilderness is named, acquired some fame as a journalist, serving on the staff of the New York Times from 1913 to 1918, but most people remember him as the author of the poem ""Trees"". Spared the keen edge of the ax when bankruptcy closed the local logging company in 1890, this wilderness contains the single most impressive growth of eastern virgin forest in the United States including old growth trees hundreds of years old and  oaks, hemlocks, and tulip poplars six feet in diameter.",NC,FS,13562,1975
katmai,Katmai Wilderness,"The Katmai Wilderness is characterized by active volcanoes, pristine lakes and rivers, glaciated peaks, and rugged coastline. The area contains the famed Valley of Ten Thousand Smokes, a spectacular forty square mile, 100 to 700 foot deep ash flow deposited by Novarupta Volcano in June of 1912 during a major cataclysmic eruption. The area is home to an abundance of wildlife. The most widely known is the brown bear, which resides throughout the coastal and lake regions of the wilderness.",AK,NPS,3384358,1980
lakeClark,Lake Clark Wilderness,"In the Lake Clark Wilderness the Aleutian Range meets the Alaska Range in the Chigmit Mountains, an area known as Alaska's Alps. The mighty rain forest along Cook Inlet rises to alpine tundra and sparkling lakes sheltered by mountain fastnesses. Drainages plunge thunderously down hundreds of waterfalls. Vast numbers of moose, brown and black bears, wolves, wolverines, red foxes, Dall sheep, and caribou make their home here. Slender and 50 miles long, Lake Clark itself reflects tall ragged spires of rock, and salmon and trout run in great numbers. Three Wild and Scenic Rivers offer excellent opportunities for travel in the area: the gorgeous Chilikadrotna River with sections of wild white water; the shallow Mulchatna River flowing out of Turquoise Lake; and the unsung Tlikakila River, which runs through one of the most fabulous glacial valleys in America.",AK,NPS,2619550,1980
lavaBeds,Lava Beds Wilderness,"A million years of volcanic turmoil produced the ragged Lava Beds Wilderness. But even the youngest cinder cones, hardly more than 1,000 years old, are now covered by vegetation that supports a variety of wildlife. Beneath the surface, at least 500 caves exist, lava tubes formed by flows that cooled on the surface as molten lava still raged below to drain away. These caves, perhaps only a fraction of the miles of caves that have yet to be discovered, are what lure most visitors to the area.",CA,NPS,28460,1972
marjStoneDoug,Marjory Stoneman Douglas Wilderness,"The Marjory Stoneman Douglass Wilderness within Everglades National Park is a lush but fragile marsh of scattered tall grasses. At the heart of the Everglades is a ""river of grass,"" six inches deep and 50 miles wide, a body of water that flows so slowly the movement is imperceptible. From its origin along the shores of Lake Okeechobee, the river drops only 15 feet on the voyage to saltwater Florida Bay.
 Don?t be fooled by the river?s placid nature though, for this is a land of indescribable wonder. Scaly alligators share the marshes with flamingos, roseate spoonbills, egrets and herons, pelicans, cranes, hawks, ibis, storks, frigate birds, kites, skimmers, and hundreds of other colorful birds.
",FL,NPS,1296500,1978
maroonBells,Maroon Bells-Snowmass Wilderness,"The Maroon Bells-Snowmass Wilderness is one of Colorado's most popular wildernesses because this area may exemplify Rocky Mountain splendor better than any other: 100 miles of trail lead over nine passes above 12,000 feet; vast regions lie above the tree line; long glacial valleys point the way to glistening alpine lakes. With six peaks rising above 14,000 feet, this area draws mountaineers by the thousands every year. The awesome, jagged symmetry of the Maroon Bells, reflected in Maroon Lake, is perhaps Colorado's most often photographed mountain scene.
",CO,FS,19538,1964
mtBaker,Mount Baker Wilderness,"Mount Baker in the southern heart of the wilderness bearing its name has shown steamy signs of life as recently as 1975. The volcanic mountain stands at 10,778 feet, making it the fourth highest summit in Washintgon state. Fourteen glaciers blanket the immediate region of the mountain. Precipitation on the heights of Mount Baker sometimes reaches 150 inches per year, with up to 18 feet of snow accumulating. Mountain climbers flood onto Mount Baker in spring and summer before fall opens numerous large crevasses. Hundreds of climbers may be seen on the mountain in a single day. The Heliotrope Ridge Trail winds 2.7 miles to the Coleman Glacier, the most popular climbing route on the mountain.",WA,FS,119989,1984
mtEvans,Mount Evans Wilderness,"The Mount Evans Wilderness is located approximately 40 miles west of Denver, Colordo. Evidence of past glaciers can be seen in the steep granite cirques and glacial moraines surrounding the high peaks. The wilderness contains small regions of arctic tundra, rare south of the Arctic Circle. Unlike typical Colorado alpine tundra, which is dry and brittle once the snow recedes, arctic tundra holds numerous small pools of water. Vegetation ranges from lower spruce-fir and lodgepole forests, through 2,000-year-old Bristlecone pines and Krummholtz near treeline, to delicate alpine vegetation reaching all the way to the highest peaks. Deer and elk inhabit the sub-alpine areas, and bighorn sheep and mountain goats are common above treeline.
",CO,FS,40274,1980
mtHood,Mount Hood Wilderness,"Mount Hood, Oregon's highest summit at 11,240 feet, is a dormant volcano covered with 11 active glaciers that still vents sulfurous steam near the summit. This snow covered peak lies at the heart of the wilderness bearing its name. More than 10,000 climbers a year come seeking the top of the state, making Mount Hood's summit one of the most visited snowclad peak in America.  The ""easier"" southside climbing route from Timberline Lodge is still a technical climb with crevasses to cross, falling rocks, and often inclement weather.  The majestic and very popular Pacific Crest Trail and Timberline Trail encircles the mountain for 38 miles.",OR,FS,63177,1964
mtRainier,Mount Rainier Wilderness,"The Mount Rainier Wilderness is located on the west side of the Cascade Range, approximately 50 miles southeast of the Seattle-Tacoma metropolitan area.   At 14,410 feet, Mount Rainier is the most prominent peak in the Cascade Range. It dominates the landscape of a large part of western Washington state. Twenty-six named glaciers spill down the slopes, covering approximately 37 square miles, making it the most heavily glaciated peak in the contiguous United States.  Mount Rainier is an active volcano that last erupted approximately 150 years ago.
 Species known or thought to occur in the park include more than 800 vascular plants, 159 birds, 63 mammals, 16 amphibians, 5 reptiles, and 18 native fishes. The park also contains 9 major watersheds, with 382 lakes and 470 rivers and streams.

",WA,NPS,228480,1988
mtSneffels,Mount Sneffels Wilderness,"Mount Sneffels, a 14,150-foot intrusion of igneous rock on the eastern verge, stands higher than any other point in the wilderness bearing its name. Members of the Hayden Survey purportedly named the peak after the Icelandic mountain in Jules Verne's "" Journey to the Center of the Earth.""  Sneffels is the Nordic word for snowfield.  Westward stretches a sheer vertical world of sharp ridges, icy slopes, and ragged peaks. It makes for dangerous climbing typical of the San Juan Mountains, sometimes called America's Switzerland, a land of unsurpassed mountain drama. Technical climbers are still discovering new routes here.",CO,FS,16566,1980
olympic,Olympic Wilderness,"Olympic National Park was established in 1938 to protect diminishing herds of Roosevelt Elk, disappearing old-growth forests and the grandeur of the Olympic Mountains. The rugged coastal area was added in 1953. Congress designated 95% of the park as the Olympic Wilderness, Washington state's largest, in 1988. The heart of the Olympic Wilderness is made up of the rugged Olympic Mountains and some of the most pristine forests left south of the 49th Parallel. The Temperate Rainforest valleys of the west and south flanks of the mountains receive 140 to 180 inches of precipitation annually with Mt. Olympus (7,980 feet), the highest peak in the Olympic Mountains receiving over 100 feet of snow. Mt. Olympus has the third largest glacial system in the conterminous U.S. next to Mt. Rainier and Mt. Baker.
 The Olympic Wilderness also contains 48 miles of  wilderness coast with its beaches, rugged headlands, tide pools, seastacks and coastal rainforests. 


",WA,NPS,876669,1988
oregonIslands,Oregon Islands Wilderness,"A string of 1,854 wave-washed rocks and islands mirror almost the entire length of the Oregon coast from Tillamook Head to the California border. These precious chunks of land, protected as the Oregon Islands Wilderness and closed to public visitation, total only 372 acres, but those relatively few acres provide nesting habitat for an estimated 1.2 million seabirds, more than nest along the coastlines of California and Washington combined. Beginning in April, black-and-white common murres throng the islands. Summer also brings tufted puffins, rhinoceros and Cassin's auklets, pigeon guillemots, Leach's storm-petrels, black oystercatchers, western gulls, and other species, which nest on the islands and feed in the Pacific Ocean. These rocky islands and reefs also serve as haul-outs for seals and sea lions including harbor seals,  northern elephant seals, California sea lions, and the threatened Steller sea lion, which haul themselves up to give birth, to rest, and to molt.",OR,FWS,372,1970
otisPike,Otis Pike Fire Island High Dune Wilderness,"Just miles from New York City's skyscrapers, herons stalk through grassy wetlands and startled white-tailed deer leap over thickets of catbrier and the ubiquitous poison ivy. Their home is the barrier island known as the Otis Pike Fire Island High Dune Wilderness that traces a thin, seven-mile-long line along the coast from the visitor center, west, to Watch Hill.  It includes everything from the toe of the primary dune with its patches of seaside plants, and extends across areas of pine forest with hidden groves to the sheltered marshes along the Great South Bay.  The wilderness area does not include the ocean front beaches but provides for a remote and pristine experience. Anglers cast for bluefish, striped bass, winter flounder, among other saltwater species, and scenic views and abundant wildlife attract bird watchers, wildlife viewers, and nature lovers, alike.",NY,NPS,1380,1980
paria,Paria Canyon-Vermilion Cliffs Wilderness,"The colorful Paria Canyon-Vermillion Cliffs Wilderness snakes through northern Arizona along the gorgeous Vermilion Cliffs and swings northwest along the Paria Canyon before eventually leading into Utah. Paria Canyon is considered one of the best canyon-backpacking destinations in the world. Soaring walls are streaked with desert varnish, and serpentine canyons are so narrow in places that the sky is reduced to a ribbon of faded blue. Vast red-rock amphitheaters, sandstone arches, intricate erosion-carved sculptures, woodland terraces, and hanging gardens of ferns and orchids are found here. Beyond the canyon, the Vermilion Cliffs, massive and multicolored, rise as much as 3,000 feet, an escarpment dominating the rest of the wilderness with its thick Navajo sandstone face, boulder-bound slopes, and rugged arroyos.",AZ & UT,BLM,21332,1984
rockyMountain,Rocky Mountain National Park Wilderness,"First recommended for wilderness protection in 1974, the stunning wild lands of Rocky Mountain National Park Wilderness sat in limbo for 35 years until finally being designated in 2009.  This living showcase of the grandeur of the Rocky Mountains, with elevations ranging from 7,860 feet in the wet, grassy valleys to 14,259 feet at the weather-ravaged top of Longs Peak, provides visitors from around the world with countless opportunities for breathtaking experiences and adventures. The Continental Divide runs northwest to southeast through the center of the wilderness atop the high peaks. Over one-third of the wilderness above treeline with more than sixty peaks over 12,000 feet. Longs Peak is the highest peak, and is an extremely popular destination during the summer months; Mount Meeker, at 13,911 feet, rises to the south The headwaters of four major river basins;  the Big Thompson, North Fork of the Colorado, North Fork of the St. Vrain, and the Cache La Poudre Rivers find their beginnings in the upper glaciated cirques.",CO,NPS,249339,2009
sangreDeCristo,Sangre de Cristo Wilderness,"Sangre de Cristo is Spanish for ""Blood of Christ,"" but no one is quite sure why the region was given this name. Of the long and colorful Spanish influence in these mountains and in the San Luis Valley below there is no doubt, however. Unlike most of Colorado's mountains, the high and magnificently rugged Sangres were uplifted suddenly in massive blocks, creating a range of dramatic vertical proportions. Four fourteeners are clumped together in the midsection of the wilderness, including Crestone Needle (14,197 feet). Many climbers, consider the Needle to be Colorado's most challenging 14,000-foot peak. Three more fourteeners stand together just south of the boundary.",CO,FS & NPS,85137,1993
sequoiaKings,Sequoia-Kings Canyon Wilderness,"Sequoia National Park, America's second oldest park, was eventually joined with Kings Canyon National Park to form an area described only with multiple superlatives. Here in the heart of California wildland, the Sequioa-Kinga Canyon Wilderness abutts several other wilderness areas to collectively protect the heart of the Sierra Nevada crest's high peaks, deep canyons, lush meadows, bright lakes, rushing rivers, sparkling streams, and big, big trees. To the west, the wilderness descends to dry foothills of oak and chaparral toward the San Joaquin Valley. To the south runs the Middle Fork of the Kaweah River, as well as the Wild and Scenic North Fork of the Kern River. To the east stands Mount Whitney at 14,500 feet, shared with John Muir Wilderness. Across the heart of the area runs Kings Canyon at depths virtually unparalleled, prompting John Muir to dub it ""a rival to Yosemite."" It is cut by the Wild and Scenic South Fork of the Kings River. Traveling north-south, 101 miles of the Pacific Crest Trail and 97 miles of the John Muir Trail cross the heart of the wilderness.",CA,NPS,768112,1984
stMarks,St. Marks Wilderness,"The St. Marks Wilderness is located along the Gulf coast of the panhandle of Florida, 25 miles south of Tallahassee. 
Visitors view wildlife across primitive saltmarshes, and in hardwood swamps, freshwater pools and lakes, fragrant pine flatwoods and pine-oak uplands.  Besides saltwater fishing, the area also boast year 'round freshwater fishing, hiking, birdwatching, seasonal hunting, and educational programs.  Nesting birds include the Southern bald eagle, the red-cockaded woodpecker, wood ducks, ospreys and many song and shorebirds. In October, thousands of migrating monarch butterflies pause at St. Marksto feed on their way to Mexico. 
Part of the Florida National Scenic Trail runs through the eastern portion of the St. Marks Wilderness.",FL,FWS,17350,1975
stephenMather,Stephen Mather Wilderness,"The Stephen Mather Wilderness boasts first-rate alpine climbing in a huge and tremendously rugged piece of earth with jagged glaciated peaks above narrow stream drainages and densely forested U-shaped valleys. The Pacific Crest Trail crosses the southeastern corner, but most of the trails tend to be long and crudely rambling. Reaching huge sections of the area can entail multiday hikes, often combined with mountaineering, through remote, trailless territory. ",WA,NPS,634614,1988
teton,Teton Wilderness,"The Teton Wilderness straddles the Continental Divide deep in the heart of Wyoming's Yellowstone Ecosystem. It is bordered on the north by Yellowstone National Park, on the east by the Washakie Wilderness, on the west by Grand Teton National Park, and on the south by the Mt Leidy Highlands and Gros Ventre Wilderness. To the west of the Great Divide, the land is dominated by timbered ridges, grassy slopes, and broad willow and sedge meadows with elevations from 7,000 feet to 9,675 feet. To the east of the Great Divide are high alpine plateaus broken by ridges and extensive mountain meadows with elevations from 8,000 feet to 12,165 feet (Younts Peak). On Two Ocean Pass, the famous Two Ocean Creek splits to send water to both the Atlantic and the Pacific Oceans. Within the Teton Wilderness the headwaters of the notable Yellowstone and Snake Rivers arise in alpine meadows of willow and sedge. You'll see evidence of the great fires from the summer of 1988 that burned here and in Yellowstone. In 1987 the highest elevation tornado ever recorded mowed a 20-mile-long, two-mile-wide swath through an area near Enos Lake.",WY,FS,585238,1964
threeSisters,Three Sisters Wilderness,"The high, snowcapped Three Sisters (North Sister at 10,085 feet, Middle Sister at 10,047 feet, and South Sister at 10,358 feet) embellish the eastern side of Oregon's Three Sisters Wilderness. Including Broken Top at 9,175 feet just to the south, this area offers 14 glaciers. Collier Glacier, between North and Middle Sister, is the largest sheet of ice in Oregon. Here is a fabulous volcanically formed landscape of lava fields, waterfalls, alpine meadows, lakes and streams teeming with brook and rainbow trout, and a lush forest of Douglas fir, silver fir, subalpine fir, mountain hemlock, western hemlock, lodgepole pine, ponderosa pine, and true fir. The headwaters of the Wild and Scenic Squaw Creek likewise emerge here. Only State Highway 242 separates Three Sisters Wilderness from Mount Washington Wilderness to the north. Waldo Lake Wilderness shares the southern boundary.
",OR,FS,281190,1964
terror,Tracy Arm-Fords Terror Wilderness,"Bounded by Canada on the east, this wilderness is is highlighted by two sheer-walled fjords, Tracy Arm and Endicott Arm, both narrow and deep and over 30 miles long. In 1899, a naval crewman named Ford paddled into a narrow waterway connected to Endicott Arm and was trapped for six terrible hours in the ripping tidal surge, giving the wilderness it's full name of Tracy Arm-Fords Terror Wilderness. At the head of both fjords, tidewater glaciers calve regularly into the sea, making a boat approach to their faces dangerous. Floating chunks of ice, some the size of a three-story building often block access to the end of the fjords, especially in summer. Permanent ice, in fact, covers about one-fifth of the wilderness. Sea kayaking is popular along the coastline with camping in a few primitive sites.

",AK,FS,653179,1980
yosemite,Yosemite Wilderness,"Established in 1890, Yosemite National Park ranks among the first in the National Park System. 94 percent of the park has been designated as the Yosemite Wilderness, most of the land falling in the higher country outside Yosemite Valley. Surrounded entirely by National Forest in the heart of the Sierra Nevada, fabulous granite faces, domes, and peaks stand above expansive meadows that sprout a lustrous green in summer and are buried in soft, white snow during winter. Beautiful, glacier-filled lakes spill their water down turbulent, sparkling streams and over spectacular waterfalls, while nearby groves of giant sequoias tower to eye-stretching heights. The Tuolumne Wild and Scenic River and Merced Wild and Scenic River run through the wilderness, dropping over some of the most fabulous waterfalls in America. Although there is no navigable white water within the wilderness itself, just outside these rivers rush and become some of the best white-water runs. Yosemite's landmarks have become synonymous with outdoor splendor: El Capitan, Half Dome, Yosemite Falls, Bridalveil Fall, Tuolumne Meadows. The rock-climbing routes on bold and extraordinarily high faces rank among the most challenging in the entire world.",CA,NPS,704624,1984
zion,Zion Wilderness,"Located in southwestern Utah, the Zion Wilderness encompasses some of the most scenic canyon country in the United States and is characterized by high plateaus, a maze of narrow, deep sandstone canyons and striking rock towers and mesas. A ribbon of green marks the Virgin River's course as diverse plants and animals thrive in this canyon oasis. But when lightning flashes water falls erupt from dry cliffs, and floods flash down waterless canyons. Threatened and endangered species found in Zion include the Mexican Spotted Owl, Southwest Willow Flycatcher, and Desert Tortoise. Rare/Special concern species include the Zion Snail, Virgin Spinedace, and Peregrine Falcon. Evidence of Ancestrial Puebloans, known as the Anasazi, date from 2,000 years ago; Paiutes from about 800 years ago to present. Mormon settlers arrived in the 1860s.",UT,NPS,124406,2009
gatesArctic,Gates of the Arctic Wilderness,"When Bob Marshall explored this region in the early 1930s, two looming peaks near the head of the North Fork of the Koyukuk River (Boreal Mountain and Frigid Crags) left a lasting impression on him. He dubbed them ""The Gates of the Arctic."" The ragged, majestic peaks of the Brooks Range invite exploration and give way northward to rolling tundra where caribou travel in huge herds and grizzly bears roam. Remote glacier-carved valleys split the range, drained by clear rivers and dotted with alpine lakes. Waterways suitable for floating or paddling are seemingly endless and include all or part of six Wild and Scenic Rivers. Anglers head here for the grayling, char, and chum salmon often found in abundance in the rivers. Although no established trails exist, backpacking is becoming increasingly popular in Gates of the Arctic, and climbers are attracted to the Arrigetch Peaks and Mount Igikpak.",AK,NPS,"7,167,192",1980
aleutianIslands,Aleutian Islands Wilderness,"Stretching 1,100 miles south and west from the Alaska Peninsula, the Aleutian Islands Wilderness consists of munerous islands which are actually the peaks of submarine volcanoes rising from near sea level to more than 9,000 feet. On most of these islands you'll find lush green tundra dotted with summer wildflowers and carpeted with grasses, sedges, mosses, lichens, and heath. Cool average temperatures prevent trees from establishing here. Marine mammals include the endangered Steller sea lion, threatened northern sea otter, and harbor seal, but the Aleutians are best known for their birds. More than 10 million nest on the islands each summer. Puffins, auklets, gulls, storm petrels, cormorants, terns, kittiwakes, murres, pigeon guillemots, and murrelets are among the most abundant species. The largest known colony of northern fulmars in America--topping one-half million--nest on Chagulak Island. Half of the world's emperor geese spend their winters in the Aleutians. Once endangered with extinction, the Aleutian cackling goose is now considered recovered and continues to re-colonize former nesting islands. Nowhere else in North America can you find whooper swans, tufted ducks, Siberian ruby-throats, wood sandpipers, far eastern curlews, and black-headed gulls.",AK,FWS,"1,300,000",1980
mtTimpanogos,Mount Timpanogos Wilderness,"Part of Utah's Wasatch Mountain Range, the Mount Timpanogos Wilderness offers abundant rugged terrain embellished with waterfalls and summer wildflowers. You'll find forget-me-nots, alpine buttercups, bluebells, and columbine blooming in high alpine meadows. There are also outstanding glacial cirques and moraines. Below the tree line are forests of aspen, Douglas fir, subalpine fir, limber pine, Gambel oak, maple, and chokecherry. You'll have an excellent chance of spotting Rocky Mountain goats in the Emerald Lake area, as well as mule deer, elk, and moose. In early summer the rapidly melting snow can cause dangerous high water stream crossings.",UT,FS,"10,518",1084
medicineLake,Medicine Lake Wilderness,"The Medicine Lake Wilderness lies within the glacial drift prairie of northeastern Montana. The lake, for which the area is named, conserves diverse wetlands and grasslands that provide breeding grounds for migratory birds and other wildlife. It has been designated 1 of the top 100 globally important bird areas in the United States by the American Bird Conservancy. Over 126 species of birds are documented to breed in the area, including an abundance of waterfowl, grassland birds and colonial nesting birds.",MT,FWS,"11,366",1976
